date,group,subj,sex,age-yrs,agesex,type,cause,location
2008-10-01,GS,Agne,F,11.1,adf,limp,,limb
2008-10-08,GS,Spnk,M,7.4,juvm,wound,within-group aggression,handfoot
2008-10-08,TWN,Diam,F,13.1,adf,wound,,handfoot
2008-10-15,alone,KL,M,22.3,adm,wound,,handfoot
2008-10-18,TWS,Rock,M,12.7,adm,bump,,headneck
2008-10-22,GSA,Ci,F,13.6,adf,limp,,limb
2008-10-24,GSB,Bb,F,21.7,adf,limp,,handfoot
2008-10-26,TWS,Bagi,M,6.7,juvm,limp,within-group aggression,handfoot
2008-10-26,TWS,KK,F,12.8,adf,wound,thorn stab,handfoot
2008-11-02,GSA,Lond ,F,9,adf,wound,,tail
2008-11-02,GSB,Soft,F,13.6,adf,wound,within-group aggression,tail
2008-11-02,TWN,Kitt,F,24.7,adf,limp,,limb
2008-11-02,TWS,Bink,M,2.8,juvm,limp,fall from tree,limb
2008-11-10,alone,KL,M,22.3,adm,wound,,handfoot
2008-12-07,alone,Davy,M,10.8,adm,wound,,multiple
2008-12-07,TWS,Flip,M,9,adm,wound,,trunk
2008-12-25,TWS,Durh,M,5.7,juvm,wound,,tail
2008-12-27,GSB,Gigi,F,14.9,adf,limp,,limb
2008-12-29,TWS,Gaun,F,20.9,adf,limp,,limb
2009-01-05,TWS,Dixi,F,12,adf,wound,,limb
2009-01-06,GN,Tann,F,2,juvf,limp,,limb
2009-01-11,TWS,Quan,F,16,adf,wound,inter-group aggression,headneck
2009-01-16,TWS,Quan,F,16,adf,wound,within-group aggression,limb
2009-01-26,GSA,Flat,F,9,juvf,wound,,limb
2009-02-17,alone,Davy,M,11,adm,limp,,limb
2009-02-23,TWS,Rock,M,13,adm,bump,,headneck
2009-03-04,TWN,Diet,M,6.6,juvm,limp,,limb
2009-03-13,TWS,Bill,F,11.1,adf,wound,within-group aggression,tail
2009-03-23,GN,Dude,M,3.9,juvm,limp,,limb
2009-04-02,GSB,Pody,F,22.1,adf,limp,,limb
2009-04-02,TWS,Bill,F,11.2,adf,wound,,headneck
2009-05-09,alone,KL,M,22.8,adm,wound,,headneck
2009-05-29,TWS,Buai,F,5.3,juvf,limp,,limb
2009-06-26,TWN,Park,F,6.3,juvf,wound,,tail
2009-07-12,TWS,Blaz,F,15.4,adf,wound,,limb
2009-07-24,TWS,Buai,F,5.4,juvf,hairless,,limb
2009-07-27,GSA,Jig ,F,15.4,adf,limp,,handfoot
2009-07-27,GSB,Soft,F,14.4,adf,wound,fall from tree,multiple
2009-08-01,GSB,Gigi,F,15.5,adf,limp,,limb
2009-08-13,GN,Diab,M,5.5,juvm,limp,,limb
2009-08-13,TWS,Tip,M,11.5,adm,wound,,headneck
2009-08-14,TWS,Rock,M,13.5,adm,wound,,handfoot
2009-08-24,Gsa,Aman,M,2.5,juvm,limp,,limb
2009-08-24,TWS,Rock,M,13.5,adm,wound,,trunk
2009-08-24,TWS,Tip,M,11.6,adm,wound,,multiple
2009-08-27,TWN,Wats,M,12.1,adm,wound,,headneck
2009-08-30,TWS,Gaun,F,21.6,adf,limp,,limb
2009-09-07,GN,DJ,F,10.4,adf,wound,,headneck
2009-09-08,TWS,Wats,M,12.1,adm,wound,,tail
2009-09-13,TWS,Rock,M,13.6,adm,limp,,limb
2009-09-22,TWS,Bliz,M,3.5,juvm,limp,,limb
2009-09-23,GN,Dude,M,4.4,juvm,limp,,limb
2009-09-23,GSC,Tt,M,9.4,adm,wound,,multiple
2009-09-25,TWN,Asha,F,3.6,juvf,wound,within-group aggression,handfoot
