date,group,subj,sex,age-yrs,agesex,type,cause,location
2013-06-18,TWS,Kofi,M,0.3,inf,limp,,limb
2013-06-20,GSAA,Brod,M,adult,adm,wound,,limb
2013-06-21,TWS,Sifa,F,7.4,juvf,wound,,tail
2013-06-25,TWS,Bliz,M,7.3,juvm,limp,,limb
2013-06-27,TWS,Bif,F,20.4,adf,hairless,,tail
2013-07-05,GN,Crin,M,10.1,adm,wound,,headneck
2013-07-05,GN,Rafi,M,11.3,adm,wound,male-male aggression,multiple
2013-07-05,GN,Squi,M,14,adm,wound,,handfoot
2013-07-07,GSC,Doc,M,adult,adm,wound,,headneck
2013-07-15,GN,KL,M,27,adm,wound,within-group aggression,tail
2013-07-17,GN,Ding,F,23.4,adf,scar,,trunk
2013-07-23,TWS,Crin,M,10.2,adm,limp,,limb
2013-07-24,alone,Mwiz,M,17.2,adm,wound,,limb
2013-07-24,TWS,Trog,M,10,adm,wound,,headneck
2013-07-29,TWS,Sema,M,5.5,juvm,limp,,limb
2013-08-06,GSAA,Mush,F,10.4,adf,limp,,handfoot
2013-08-07,GN,Rafi,M,11.4,adm,not_specified,male-male aggression,limb
2013-08-11,GN,Lars,M,9.3,adm,wound,,headneck
2013-08-16,TWS,Buai,F,9.5,adf,wound,,tail
2013-08-30,GSB,Soft,F,18.5,adf,limp,,limb
2013-08-31,GN,Spad,F,3.6,juvf,wound,,trunk
2013-09-04,GN,Rafi,M,11.5,adm,wound,male-male aggression,limb
2013-09-20,GSB,Fezi,M,11.5,adm,wound,,tail
2013-09-21,GN,Squi,M,14.2,adm,wound,,handfoot
2013-09-29,GN,Pesa,M,0,inf,bump,bumps,multiple
2013-10-04,GSAA,Olly,M,10.3,adm,wound,,handfoot
2013-10-04,TWS,Crin,M,10.4,adm,wound,,limb
2013-10-09,GSAA,Olly,M,10.3,adm,wound,,handfoot
2013-10-13,GN,Spad,F,3.7,juvf,wound,,trunk
2013-10-17,TWS,Sema,M,5.7,juvm,hairless,,tail
2013-10-20,GN,Stel,F,0.5,inf,bump,bumps,trunk
2013-10-21,GSAA,Olly,M,10.4,adm,wound,,handfoot
2013-11-08,TWS,Bonn,F,13.9,adf,wound,,tail
2013-11-21,GN,Drag,M,5.9,juvm,limp,,limb
2013-11-21,GN,Mole,F,0.6,inf,bump,,headneck
2013-11-23,GN,Squi,M,14.4,adm,scar,,headneck
2013-11-25,alone,Ulys,M,10.5,adm,wound,,multiple
2013-12-10,TWS,Ark,M,0.8,inf,limp,,limb
2013-12-13,TWS,Ark,M,0.8,inf,wound,,headneck
2013-12-18,GSC,Lond,F,14.1,adf,wound,within-group aggression,limb
2013-12-20,TWS,Bong,M,0.6,inf,wound,,headneck
2013-12-28,TWN,KL,M,27.5,adm,wound,,limb
2014-01-01,GN,Vani,M,11.8,adm,wound,,limb
2014-01-02,TWS,Buai,F,9.9,adf,limp,,limb
2014-01-09,GN,Dann,M,0.9,inf,limp,,limb
2014-01-09,TWS,Kolv,F,11.8,adf,limp,,limb
2014-01-10,TWS,Bong,M,0.7,inf,wound,,headneck
2014-01-10,TWS,Buai,F,9.9,adf,wound,,limb
2014-01-13,GN,Dann,M,0.9,inf,limp,,limb
2014-01-22,TWN,Ruki,M,2.9,juvm,limp,,limb
2014-01-28,TWS,Twin,F,15.9,adf,wound,,tail
2014-02-14,GN,Tux,F,12,adf,limp,,limb
2014-02-26,TWS,Fris,M,5,juvm,limp,,limb
2014-03-04,GSAA,Saul,M,10,adm,wound,,limb
2014-03-04,TWS,Burn,F,5,juvf,wound,,headneck
2014-03-10,TWS,Elle,F,16.2,adf,wound,,tail
2014-03-26,TWS,Fris,M,5.1,juvm,limp,,limb
2014-03-29,TWS,Bong,M,0.9,inf,wound,,headneck
2014-04-04,GN,Mayh,F,4.1,juvf,wound,,tail
2014-04-06,TWS,Flik,M,8.3,juvm,limp,,limb
2014-04-07,TWN,Pott,F,7.2,juvf,scar,,tail
2014-04-25,TWS,Dixi,F,17.3,adf,limp,,limb
2014-04-25,TWS,KK,F,18.3,adf,limp,inter-group aggression,limb
2014-04-25,TWS,Twin,F,16.1,adf,limp,inter-group aggression,limb
2014-04-26,GSC,Fish,M,4.3,juvm,wound,,handfoot
2014-04-27,TWS,Zeus,M,9.8,adm,limp,,limb
2014-05-16,TWS,Bliz,M,8.2,juvm,limp,,limb
2014-05-26,TWS,Sema,M,6.3,juvm,bump,,limb
2014-05-30,TWS,Pans,F,16.8,adf,wound,,limb
2014-05-31,TWN,Petr,F,4.2,juvf,limp,,limb
2014-06-01,TWS,Bliz,M,8.2,juvm,wound,,multiple
2014-06-06,TWS,Dubl,M,5.3,juvm,limp,,limb
2014-06-08,TWS,Blaz,F,20.3,adf,wound,,headneck
2014-06-10,TWS,Kolv,F,12.2,adf,wound,,tail
2014-06-14,TWS,Zeus,M,9.9,adm,wound,,limb
2014-06-16,TWS,Beve,F,0.2,inf,wound,,headneck
2014-06-30,TWS,Echo,M,8.4,juvm,limp,,limb
2014-07-03,TWS,Echo,M,8.4,juvm,limp,,handfoot
2014-07-09,GN,Mixu,F,25.4,adf,wound,,tail
2014-07-10,GN,Siku,M,5.5,juvm,not_specified,,handfoot
2014-07-23,GSC,Luis,M,1.6,juvm,wound,fall from tree,headneck
2014-07-23,TWS,Elle,F,16.6,adf,wound,,tail
2014-07-31,GN,Squi,M,15.1,adm,limp,,limb
2014-08-07,TWS,Tip,M,16.5,adm,wound,,multiple
2014-08-17,TWN,Aqua,F,6.3,juvf,scar,,tail
2014-09-13,TWS,Bonn,F,14.8,adf,wound,,tail
2014-10-01,TWS,Kool,F,8.6,juvf,limp,,limb
2014-10-02,TWS,Kolv,F,12.5,adf,wound,,limb
2014-10-09,TWS,Bonn,F,14.8,adf,wound,,tail
2014-10-12,TWS,Tatu,M,5.6,juvm,wound,,trunk
2014-10-21,GN,Dais,F,4.7,juvf,wound,,limb
2014-11-23,TWS,Peke,M,3.9,juvm,hairless,,limb
2014-12-27,GN,Demo,F,6.8,juvf,wound,,tail
2014-12-28,TWN,Afia,F,0,inf,wound,,trunk
2015-01-08,TWN,Park,F,11.9,adf,wound,within-group aggression,handfoot
2015-01-12,TWS,Sote,M,1.1,juvm,wound,infanticide,trunk
2015-01-19,GN,Mali,F,7,juvf,limp,,limb
2015-01-26,TWS,Tatu,M,5.9,juvm,wound,,headneck
2015-01-30,TWS,Kati,F,11,adf,scar,,limb
2015-02-05,TWS,Fris,M,5.9,juvm,wound,,limb
2015-02-21,TWS,Peke,M,4.1,juvm,wound,,headneck
2015-03-02,TWN,Dust,M,6,juvm,limp,,limb
2015-03-05,GN,Drag,M,7.2,juvm,wound,,trunk
2015-04-22,TWS,Fris,M,6.1,juvm,limp,,limb
2015-04-29,GN,Mini,F,10.2,adf,limp,,limb
2015-05-04,GSB,Naam,F,6.2,juvf,limp,,limb
2015-06-09,TWS,Saag,M,0.4,inf,wound,,headneck
2015-06-21,TWN,Safi,F,2.3,juvf,wound,,limb
2015-07-02,TWN,Kabu,F,2.2,juvf,wound,fall from tree,handfoot
2015-07-04,TWS,Bill,F,17.4,adf,limp,,handfoot
2015-08-12,TWS,Blas,M,3.5,juvm,scar,,tail
2015-08-16,TWS,Balo,M,9.5,adm,limp,,handfoot
2015-08-19,GSC,Fish,M,5.7,juvm,wound,,limb
2015-09-08,GN,Squi,M,16.2,adm,wound,,headneck
2015-09-10,TWS,Bow,F,23.4,adf,limp,,limb
2015-09-12,TWN,Opal,F,12.5,adf,wound,fall from tree,handfoot
2015-09-19,TWS,Balo,M,9.6,adm,wound,,limb
2015-09-20,TWS,Sauc ,F,20.5,adf,wound,,limb
2015-10-03,TWS,Kaya,M,3.6,juvm,scar,,tail
2015-10-09,TWS,Boyd,F,3.5,juvf,wound,,headneck
2015-10-28,GN,Migo,F,1.8,juvf,limp,,limb
2015-11-04,TWS,Dubl,M,6.7,juvm,wound,,tail
2015-11-05,GN,Spor,F,2.2,juvf,limp,,limb
2015-11-05,TWS,Blaz,F,21.7,adf,wound,,multiple
2015-11-05,TWS,Boxe,M,0.5,inf,limp,,limb
2015-11-10,TWS,Gumm,F,9.7,adf,limp,inter-group aggression,limb
2015-11-10,TWS,Pans,F,18.2,adf,limp,inter-group aggression,limb
2015-11-17,TWS,Blig,F,0.8,inf,limp,,limb
2015-11-21,TWN,Arid,F,1.1,juvf,wound,,headneck
2015-11-22,TWS,Elle,F,17.9,adf,wound,within-group aggression,limb
2015-11-24,TWS,Toky,F,0.5,inf,limp,,limb
2015-11-28,TWN,Petr,F,5.7,juvf,limp,,limb
2015-12-09,GN,Daff,F,16,adf,wound,,trunk
2015-12-15,GN,Squi,M,16.5,adm,limp,,limb
2015-12-31,TWN,Petr,F,5.7,juvf,limp,,limb
2016-01-16,TWS,Quan,F,23,adf,limp,,limb
2016-01-22,GN,Disc,M,7,juvm,scar,,tail
2016-02-13,GSB,Yani,M,adult,adm,limp,,limb
2016-02-15,GN,Whit,M,13,adm,limp,,limb
2016-02-19,TWS,Kolv,F,13.9,adf,scar,,tail
2016-03-06,GSAA,Lala,F,11.2,adf,limp,,limb
2016-03-07,GSB,Gene,F,2.2,juvf,limp,,limb
2016-03-26,TWS,Kaya,M,4.1,juvm,limp,,limb
2016-03-28,TWS,Quan,F,23.2,adf,limp,,limb
2016-03-30,GN,Rico,M,2,juvm,limp,,limb
2016-03-30,TWS,Balz,F,2,juvf,wound,,headneck
2016-03-30,TWS,Fris,M,7.1,juvm,wound,,headneck
2016-04-14,GSB,Bwan,M,3.4,juvm,limp,,limb
2016-04-16,TWS,Kamp,M,1,inf,wound,,headneck
2016-04-22,TWS,Bill,F,18.3,adf,limp,,limb
2016-04-22,TWS,Burn,F,7.1,juvf,limp,,limb
2016-05-09,GN,DJ,F,17.1,adf,limp,,limb
2016-05-12,GN,Siku,M,7.4,juvm,limp,,limb
2016-05-12,GSB,Soft,F,21.2,adf,wound,,limb
2016-05-25,TWS,Sauc ,F,21.1,adf,wound,,tail
2016-05-29,TWS,Kami,F,16.1,adf,wound,,tail
2016-05-31,TWN,Amos,M,6.3,juvm,wound,,headneck
2016-06-04,TWS,Bans,F,13.4,adf,wound,,tail
2016-06-05,GN,Mixu,F,27.3,adf,limp,,limb
2016-06-05,GN,Spik,F,26.3,adf,scar,,tail
2016-06-11,GN,Mend,F,6.4,juvf,wound,,tail
2016-06-11,GN,Mixu,F,27.3,adf,wound,,tail
2016-06-12,GSC,Perc,M,15.3,adm,wound,,multiple
2016-06-13,GSC,Perc,M,15.3,adm,wound,,multiple
2016-06-15,TWS,Kach,F,0.1,inf,wound,,tail
2016-06-16,GSC,Perc,M,15.3,adm,wound,male-male aggression,multiple
2016-06-17,GN,Tusk,M,7.4,juvm,wound,,limb
2016-06-19,GN,DJ,F,17.2,adf,wound,,tail
2016-06-23,GSC,Andy,F,11.2,adf,limp,,limb
2016-07-07,TWS,Pawp,M,2.4,juvm,limp,,limb
2016-08-18,TWS,Fris,M,7.5,juvm,limp,,limb
2016-08-22,GNS,Dimp,F,1.4,juvf,wound,,headneck
2016-08-22,GNS,Squi,M,17.2,adm,wound,,handfoot
2016-09-02,TWS,Bif,F,23.6,adf,scar,,limb
2016-09-04,TWS,Bif,F,23.6,adf,scar,,limb
2016-09-07,TWS,Balo,M,10.6,adm,wound,male-male aggression,headneck
2016-09-07,TWS,Bif,F,23.6,adf,scar,,limb
2016-10-13,TWS,Alpa,M,11.2,adm,wound,,limb
2016-10-19,TWS,Kolv,F,14.5,adf,scar,,limb
2016-10-21,TWN,Park,F,13.6,adf,limp,,limb
2016-11-02,TWS,Buai,F,12.7,adf,limp,,limb
2016-11-15,GSB,Soft,F,21.7,adf,wound,,limb
2016-11-19,TWS,Dame,F,4.9,juvf,wound,,limb
2016-11-21,GSB,Soft,F,21.7,adf,wound,,limb
2016-11-21,TWN,Khan,M,14,adm,wound,,headneck
2016-11-23,TWS,Ardm,F,13.9,adf,scar,,trunk
2016-11-26,TWS,Blaz,F,22.7,adf,limp,,limb
2016-11-27,GSC,Senk,M,9.6,adm,wound,,headneck
2016-11-28,TWN,Khan,M,14,adm,wound,,headneck
2016-11-30,TWS,Foss,M,13,adm,limp,,limb
2016-12-01,TWS,Kofi,M,3.7,juvm,limp,,handfoot
2016-12-10,TWS,Sava16inf,U,0,inf,wound,,multiple
2016-12-17,TWS,Tesl,F,3.8,juvf,limp,,limb
2017-01-03,GNN,Spad,F,7,juvf,limp,,limb
2017-01-03,TWS,Saag,M,1.9,juvm,wound,,headneck
2017-01-03,TWS,Twin,F,18.8,adf,scar,,tail
2017-01-04,TWS,Twin,F,18.8,adf,wound,,tail
2017-01-07,GNN,Spad,F,7,juvf,wound,,limb
2017-01-07,GNS,DJ,F,17.8,adf,scar,,tail
2017-01-14,TWS,Gumm,F,10.9,adf,wound,,tail
2017-01-15,GNN,Spad,F,7,juvf,scar,,limb
2017-01-24,GNN,Sput,F,14.6,adf,scar,,tail
2017-02-08,TWS,Bif,F,24,adf,wound,,tail
2017-02-15,GSB,Zigg,M,10.1,adm,wound,,limb
2017-02-21,GSB,Buzz,F,11,adf,wound,,multiple
2017-02-21,TWS,Pans,F,19.5,adf,wound,inter-group aggression,limb
2017-02-23,TWS,Peke,M,6.2,juvm,wound,,handfoot
2017-02-27,TWS,Pans,F,19.5,adf,scar,,limb
2017-02-28,GNN,Stre,F,8,juvf,wound,,tail
2017-03-01,TWS,Peke,M,6.2,juvm,wound,,tail
2017-03-10,TWS,Bens,F,11.1,adf,wound,,tail
2017-03-20,GNS,Mous,F,0.9,inf,limp,,limb
2017-03-21,GSB,Zigg,M,10.2,adm,limp,,limb
2017-03-27,GNS,Ding,F,27.1,adf,wound,,tail
2017-04-07,GNN,Daff,F,17.4,adf,limp,,limb
2017-04-17,TWS,Blow,F,0.2,inf,wound,,headneck
2017-04-30,GSC,Hava,F,18.2,adf,wound,,headneck
2017-05-10,TWS,Bong,M,4,juvm,limp,,limb
2017-06-20,TWS,Rein,M,9.5,adm,wound,,limb
2017-06-20,TWS,Yusu,M,9.2,adm,wound,,headneck
2017-06-22,TWS,Foss,M,13.5,adm,wound,,multiple
2017-06-23,TWS,Cham,M,15.9,adm,wound,,headneck
2017-06-25,TWN,Saph17inf,F,0.1,inf,wound,infanticide,headneck
2017-06-29,TWN,Hade,M,adult,adm,wound,,tail
2017-07-02,TWS,Yusu,M,9.2,adm,wound,,tail
2017-07-03,TWS,Mars,M,adult,adm,limp,,limb
2017-07-06,TWS,Blin,M,adult,adm,wound,,tail
2017-07-07,TWN,Opal,F,14.3,adf,limp,,limb
2017-07-08,TWS,Cham,M,16,adm,limp,,handfoot
2017-07-09,TWN,Tusk,M,8.5,adm,scar,,limb
2017-07-10,TWN,Saph ,F,11.3,adf,wound,,limb
2017-07-16,TWS,Yusu,M,9.3,adm,wound,,tail
2017-07-17,TWN,Yere,M,adult,adm,wound,,tail
2017-07-20,TWN,Yere,M,adult,adm,wound,,multiple
2017-07-21,TWN,Blin,M,adult,adm,wound,,headneck
2017-07-21,TWS,Rein,M,9.6,adm,wound,,multiple
2017-07-22,TWS,Dust,M,8.4,adm,limp,,limb
2017-07-22,TWS,Mwiz,M,21.2,adm,wound,,limb
2017-07-23,TWN,Oval,M,adult,adm,wound,,headneck
2017-07-26,TWN,Ambe,F,22.3,adf,limp,,limb
2017-07-26,TWN,Blin,M,adult,adm,wound,,headneck
2017-07-30,GNN,Faro,M,adult,adm,wound,,headneck
2017-07-31,TWS,Twin,F,19.4,adf,wound,,limb
2017-08-03,GNS,DJ,F,18.4,adf,wound,,tail
2017-08-03,GNS,Spee,F,11.7,adf,wound,,tail
2017-08-04,TWN,Blin,M,adult,adm,wound,,multiple
2017-08-13,TWN,Onyx,M,4.5,juvm,scar,,tail
2017-08-14,GNN,Rafi,M,15.4,adm,wound,,limb
2017-08-16,TWS,Blaz,F,23.5,adf,limp,,limb
2017-08-17,TWS,Amos,M,7.5,adm,limp,,limb
2017-08-18,GNN,Whit,M,14.5,adm,wound,,headneck
2017-08-18,TWN,Opal,F,14.4,adf,limp,,limb
2017-08-20,TWS,Gili,M,adult,adm,limp,,limb
2017-08-30,GNS,Squi,M,18.2,adm,wound,,headneck
2017-09-01,TWN,Kisu,F,3.6,juvf,wound,,tail
2017-09-06,TWS,Juli,M,13.3,adm,wound,,
2017-09-06,TWS,Trix,F,12.5,adf,wound,,tail
2017-09-07,GSC,Senk,M,10.4,adm,wound,,headneck
2017-09-07,TWS,Dust,M,8.6,adm,wound,,headneck
2017-09-07,TWS,Trix,F,12.5,adf,wound,,tail
2017-09-09,GNS,Squi,M,18.2,adm,limp,,limb
2017-09-11,TWS,Mars,M,adult,adm,wound,,headneck
2017-09-12,TWS,Brog,F,8.7,adf,scar,,trunk
2017-09-14,TWN,Keny,M,7.6,adm,limp,,limb
2017-09-19,TWS,Kanj,F,0.4,inf,wound,,limb
2017-09-30,TWS,Buai,F,13.6,adf,hairless,,limb
2017-10-02,TWS,Auss,F,0.6,inf,limp,,multiple
2017-10-03,GNN,Daff,F,17.9,adf,wound,,limb
2017-10-04,GNS,Mous,F,1.4,juvf,scar,,tail
2017-10-05,GNS,Pari,F,10.7,adf,scar,,headneck
2017-10-05,GNS,Squi,M,18.3,adm,limp,,limb
2017-10-11,TWN,Kayl,F,14.6,adf,scar,,headneck
2017-10-17,TWS,Sevi,F,4.5,juvf,wound,,tail
2017-10-18,TWS,Sava,F,13.6,adf,wound,,limb
2017-10-20,TWS,Dust,M,8.7,adm,wound,,headneck
2017-11-12,TWS,Dubl,M,8.7,juvm,limp,,limb
2017-12-08,GNN,Dobb,M,2.8,juvm,limp,,limb
2017-12-11,TWN,Ambe,F,22.7,adf,wound,fall from tree,headneck
2017-12-29,TWS,Dust,M,8.9,adm,wound,,limb
2018-01-02,TWS,Dust,M,8.9,adm,wound,,limb
2018-01-03,TWS,Balz,F,3.8,juvf,hairless,,tail
2018-01-25,TWN,Didg,F,20.1,adf,limp,,limb
2018-01-28,TWS,Bow,F,25.8,adf,wound,,limb
2018-02-01,TWS,Ardm,F,15.1,adf,wound,,limb
2018-02-01,TWS,Trix,F,12.9,adf,wound,,limb
2018-02-05,TWS,Pans,F,20.5,adf,wound,,limb
2018-02-05,TWS,Sava,F,13.9,adf,wound,,tail
2018-02-06,TWS,Kool,F,12,adf,wound,,tail
2018-02-11,TWN,Pott,F,11,adf,scar,,tail
2018-02-12,TWN,Tusk,M,9.1,adm,wound,,limb
2018-02-16,TWS,KK,F,22.1,adf,wound,,tail
2018-02-16,TWS,Twin,F,19.9,adf,wound,,tail
2018-02-22,TWS,Sauc,F,22.9,adf,wound,,multiple
2018-02-24,GNS,Dimp,F,2.9,juvf,limp,,limb
2018-03-19,TWS,Beve,F,4,juvf,wound,,tail
2018-03-22,TWN,Kipp,F,20.1,adf,wound,,headneck
2018-04-17,GSAA,Agne,F,20.6,adf,wound,,tail
2018-05-04,TWS,Dust,M,9.2,adm,limp,,limb
2018-05-09,GSAA,Andr,M,3.5,juvm,wound,,tail
2018-05-10,GSC,Senk,M,11.1,adm,scar,,headneck
2018-05-10,TWN,Opal,F,15.1,adf,limp,,limb
2018-05-19,GNS,Mayh,F,8.2,adf,scar,,tail
2018-05-27,TWS,Best,M,2.3,juvm,wound,bumps,headneck
2018-05-29,TWN,Agip,M,1.1,juvm,wound,,headneck
2018-06-15,TWS,Sevi,F,5.2,juvf,bump,bumps,headneck
2018-06-16,TWN,Tusk,M,9.4,adm,wound,,limb
2018-06-23,TWS,Bans,F,15.5,adf,wound,,multiple
2018-06-23,TWS,Bill18inf,U,0.2,inf,wound,infanticide,multiple
2018-06-26,TWS,Beve,F,4.2,juvf,limp,,limb
2018-06-28,TWS,Brog,F,9.4,adf,limp,,handfoot
2018-06-28,TWS,Quan,F,25.4,adf,limp,,limb
2018-06-29,TWS,Bill,F,20.4,adf,wound,,headneck
2018-06-29,TWS,Brog,F,9.4,adf,wound,,headneck
2018-06-29,TWS,Quan,F,25.5,adf,wound,,headneck
2018-07-13,GSAA,Saul,M,14.3,adm,wound,,headneck
2018-07-15,TWN,Aqua,F,10.3,adf,limp,,limb
2018-07-21,TPB,Buai,F,14.4,adf,wound,,handfoot
2018-07-28,TPB,Boyd,F,6.3,juvf,wound,,handfoot
2018-08-03,GSAA,Saul,M,14.4,adm,wound,,multiple
2018-08-03,GSAA,Uno,M,14.5,adm,wound,,multiple
2018-08-04,TPB,Boyd,F,6.3,juvf,wound,,tail
2018-08-04,TPB,Sept,M,16.5,adm,wound,,headneck
2018-08-10,TPA,Yusu,M,10.3,adm,limp,,limb
2018-08-12,TPA,Egg,M,adult,adm,limp,,limb
2018-08-12,TPB,Sept,M,16.5,adm,wound,,limb
2018-08-15,TPB,Trix,F,13.5,adf,wound,,tail
2018-08-17,GSAA,Bag2,M,adult,adm,wound,,headneck
2018-08-17,TPA,Juli,M,14.3,adm,wound,,trunk
2018-08-18,TPB,Boyd,F,6.4,juvf,wound,,limb
2018-09-05,TPA,Brog,F,9.6,adf,wound,,tail
2018-09-07,TPB,Bif,F,25.6,adf,hairless,,tail
2018-09-11,TPA,Bans,F,15.7,adf,wound,,tail
2018-09-15,GNS,Squi,M,19.2,adm,wound,male-male aggression,limb
2018-09-15,TPB,Fris,M,9.5,adm,wound,male-male aggression,headneck
2018-09-16,TPB,Fris,M,9.6,adm,wound,male-male aggression,handfoot
2018-09-17,GNS,Squi,M,19.2,adm,wound,male-male aggression,multiple
2018-09-20,GNS,Robe18inf,U,0.7,inf,wound,infanticide,headneck
2018-09-20,TPA,Gumm,F,12.6,adf,wound,,tail
2018-09-26,TWN,Ambe,F,23.4,adf,wound,,trunk
2018-10-03,TPA,Egg,M,adult,adm,wound,,tail
2018-10-11,GSAA,Agen,M,1.8,juvm,limp,,limb
2018-10-18,GNS,Pinc,F,28.7,adf,wound,,limb
2018-11-10,TPA,Burn,F,9.7,adf,wound,,headneck
2018-11-28,GNS,Cygn,F,2.9,juvf,limp,,limb
2019-01-03,GSAA,Saul,M,14.8,adm,scar,,limb
2019-01-10,GSC,Lisb,M,3.9,juvm,limp,,limb
2019-01-12,GSAA,Uno,M,14.9,adm,wound,,headneck
2019-01-31,TWN,Tusk,M,10,adm,wound,,handfoot
2019-02-08,TPB,Klon,F,2.9,juvf,limp,fall from tree,limb
2019-02-09,GSB,Bwan,M,6.3,juvm,wound,,limb
2019-02-19,GNS,Keny,M,9,adm,wound,,limb
2019-02-23,GSAA,Bond,F,12.9,adf,limp,,handfoot
2019-03-07,GSAA,Chee,F,9.2,adf,wound,within-group aggression,handfoot
2019-03-11,TPA,Svel,F,0.5,inf,limp,,limb
2019-03-22,GSAA,OO7,F,21.5,adf,hairless,,limb
2019-03-30,GSC,Leed,F,6.1,juvf,limp,,limb
2019-04-01,TPA,Dame,F,7.2,adf,wound,,limb
2019-04-13,GNS,Squi,M,19.8,adm,wound,,trunk
2019-04-18,GNS,Robe,F,16.3,adf,wound,within-group aggression,trunk
2019-04-19,GNN,Daff,F,19.4,adf,scar,,limb
2019-04-23,GNS,Keny,M,9.2,adm,wound,,limb
2019-05-01,TPA,Bost,F,13.3,adf,limp,,limb
2019-05-03,alone,Fris,M,10.2,adm,wound,,limb
2019-05-12,GNS,Agro19inf,M,0.3,juvm,limp,,limb
2019-05-13,GSC,Flex,F,3.4,juvf,limp,,limb
2019-05-15,GSAA,Bag2,M,adult,adm,wound,,headneck
2019-05-31,GNS,Uno,M,15.3,adm,wound,,handfoot
2019-06-10,TPA,Bans ,F,16.4,adf,limp,,limb
2019-06-14,alone,Ting,M,8.4,adm,wound,,tail
2019-06-16,TWN,Davi,F,5.8,juvf,limp,,limb
2019-06-19,GNS,Dawn,M,4.4,juvm,wound,,tail
2019-06-20,GSC,Lock,F,2.4,juvf,limp,,limb
2019-06-23,TPB,Kong,M,4.7,juvm,limp,,limb
2019-06-26,TPA,Sauc,F,24.2,adf,wound,,tail
2019-07-04,GNS,Keny,M,9.4,adm,limp,,handfoot
2019-07-04,TPA,Quan,F,26.5,adf,wound,,tail
2019-07-17,TPA,Bow,F,27.3,adf,limp,,limb
2019-07-19,TPA,Sauc,F,24.3,adf,wound,,tail
2019-07-23,GSC,Hava,F,20.4,adf,wound,,limb
2019-07-24,GNS,Dion,F,13.6,adf,wound,,limb
2019-07-26,TPA,Pans,F,21.9,adf,limp,,limb
2019-08-05,TPA,Sauc,F,24.3,adf,wound,,tail
2019-08-06,TWN,Kipp,F,21.4,adf,wound,,headneck
2019-08-09,TPB,Trix,F,14.5,adf,wound,,headneck
2019-08-09,TWN,Afia,F,4.6,juvf,limp,,limb
2019-08-10,TPA,Bonn,F,19.7,adf,wound,,tail
2019-09-04,TPA,Rein,M,11.7,adm,wound,,headneck
2019-10-02,GSC,Hong,F,17.1,adf,scar,,tail
2019-10-11,TPB,Trix,F,14.6,adf,wound,,tail
2019-10-15,TPA,Kofi,M,6.6,juvm,wound,,trunk
2019-11-12,TPA,Sevi19inf,M,0.1,inf,limp,,limb
2019-11-16,TPB,Klon,F,3.7,juvf,wound,,multiple
2019-11-16,TPB,Kool,F,13.7,adf,wound,,multiple
2019-11-19,GNS,Peke,M,8.9,adm,wound,,tail
2019-11-26,GNS,Peke,M,8.9,adm,limp,,limb
